Account,Date,daily_PnL,win_rate,avg_trade_size,num_trades,long_short_ratio,value,classification
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,1.0,2469.9509090909087,55,0.1702127659574468,84.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,0.0,0.06,1,0.0,81.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,0.0,1426.8700000000001,34,inf,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,1.0,2001.101153846154,26,0.0,75.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,0.0,1131.888695652174,46,inf,78.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,1.0,852.88625,64,0.0,78.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,1.0,1913.523898305085,59,2.933333333333333,81.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,0.0,0.11,1,0.0,75.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,1.0,10051.199411764705,34,0.6190476190476191,74.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,0.0,2845.9646153846156,13,inf,61.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,1.0,2440.6282352941175,17,0.0,75.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,1.0,2154.3915384615384,39,0.3448275862068966,77.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,1.0,2194.294758064516,124,0.5308641975308642,77.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,1.0,1737.369557522124,339,0.7121212121212122,75.0,Extreme Greed
